environment,benchmark,size_bytes
femto-container,libud,2338
femto-container,crc_32,298
femto-container,xgboost,1186
micro-bpf,libud,2498
micro-bpf,crc_32,2330
micro-bpf,xgboost,9450
wamr,libud,1051
wamr,crc_32,1238
wamr,xgboost,8971
wamr,tarfind,514
wamr,md5,1398
jerryscript,libud,1764
jerryscript,crc_32,3982
jerryscript,xgboost,27017
jerryscript,tarfind,1859
jerryscript,md5,3281
lua,libud,2157
lua,crc_32,3782
lua,xgboost,24021
lua,tarfind,1606
lua,md5,3129
micropython,libud,2060
micropython,crc_32,4016
micropython,xgboost,24011
micropython,tarfind,1838
micropython,md5,3323
