benchmark,board,correct,environment,execution_time_us,init_runtime_us,iteration,load_program_us,scale_factor
tarfind,adafruit-feather-nrf52840-sense,True,jerryscript,6560687,103,0,11569,46
tarfind,adafruit-feather-nrf52840-sense,True,jerryscript,6556376,103,1,11568,46
tarfind,adafruit-feather-nrf52840-sense,True,jerryscript,6561269,103,2,11569,46
tarfind,adafruit-feather-nrf52840-sense,True,jerryscript,6559954,103,3,11568,46
tarfind,adafruit-feather-nrf52840-sense,True,jerryscript,6549955,103,4,11569,46
tarfind,adafruit-feather-nrf52840-sense,True,lua,55855224,16278,0,22549,46
tarfind,adafruit-feather-nrf52840-sense,True,lua,55847348,16285,1,22545,46
tarfind,adafruit-feather-nrf52840-sense,True,lua,55832010,16280,2,22556,46
tarfind,adafruit-feather-nrf52840-sense,True,lua,55853966,16280,3,22537,46
tarfind,adafruit-feather-nrf52840-sense,True,lua,55841443,16274,4,22542,46
tarfind,adafruit-feather-nrf52840-sense,True,micropython,5586258,22,0,38903,46
tarfind,adafruit-feather-nrf52840-sense,True,micropython,5584515,43,1,38904,46
tarfind,adafruit-feather-nrf52840-sense,True,micropython,5584515,43,2,38904,46
tarfind,adafruit-feather-nrf52840-sense,True,micropython,5584515,42,3,38904,46
tarfind,adafruit-feather-nrf52840-sense,True,micropython,5584515,42,4,38904,46
tarfind,adafruit-feather-nrf52840-sense,True,native,38833,0,0,0,46
tarfind,adafruit-feather-nrf52840-sense,True,native,38801,0,1,0,46
tarfind,adafruit-feather-nrf52840-sense,True,native,38801,0,2,0,46
tarfind,adafruit-feather-nrf52840-sense,True,native,38802,0,3,0,46
tarfind,adafruit-feather-nrf52840-sense,True,native,38832,0,4,0,46
tarfind,adafruit-feather-nrf52840-sense,True,wamr,1074498,417,0,1968,46
tarfind,adafruit-feather-nrf52840-sense,True,wamr,1072918,231,1,1934,46
tarfind,adafruit-feather-nrf52840-sense,True,wamr,1072791,231,2,1934,46
tarfind,adafruit-feather-nrf52840-sense,True,wamr,1072932,239,3,1934,46
tarfind,adafruit-feather-nrf52840-sense,True,wamr,1072659,209,4,1935,46
crc_32,adafruit-feather-nrf52840-sense,True,lua,5605277,3932,0,22034,170
crc_32,adafruit-feather-nrf52840-sense,True,lua,5572122,3934,1,22034,170
crc_32,adafruit-feather-nrf52840-sense,True,lua,5572121,3920,2,22050,170
crc_32,adafruit-feather-nrf52840-sense,True,lua,5572122,3923,3,22059,170
crc_32,adafruit-feather-nrf52840-sense,True,lua,5572121,3928,4,22069,170
crc_32,adafruit-feather-nrf52840-sense,True,micropython,33508126,20,0,80945,170
crc_32,adafruit-feather-nrf52840-sense,True,micropython,33484804,42,1,80945,170
crc_32,adafruit-feather-nrf52840-sense,True,micropython,33485063,41,2,80945,170
crc_32,adafruit-feather-nrf52840-sense,True,micropython,33484547,41,3,80945,170
crc_32,adafruit-feather-nrf52840-sense,True,micropython,33484805,20,4,80945,170
crc_32,adafruit-feather-nrf52840-sense,True,native,79008,0,0,0,170
crc_32,adafruit-feather-nrf52840-sense,True,native,78979,0,1,0,170
crc_32,adafruit-feather-nrf52840-sense,True,native,78979,0,2,0,170
crc_32,adafruit-feather-nrf52840-sense,True,native,78980,0,3,0,170
crc_32,adafruit-feather-nrf52840-sense,True,native,78979,0,4,0,170
crc_32,adafruit-feather-nrf52840-sense,True,wamr,4565064,418,0,908,170
crc_32,adafruit-feather-nrf52840-sense,True,wamr,4545122,208,1,882,170
crc_32,adafruit-feather-nrf52840-sense,True,wamr,4545122,230,2,882,170
crc_32,adafruit-feather-nrf52840-sense,True,wamr,4545123,229,3,883,170
crc_32,adafruit-feather-nrf52840-sense,True,wamr,4545122,230,4,882,170
md5,adafruit-feather-nrf52840-sense,True,jerryscript,31138322,103,0,39815,66
md5,adafruit-feather-nrf52840-sense,True,jerryscript,31136457,103,1,39814,66
md5,adafruit-feather-nrf52840-sense,True,jerryscript,31136457,104,2,39814,66
md5,adafruit-feather-nrf52840-sense,True,jerryscript,31136457,103,3,39815,66
md5,adafruit-feather-nrf52840-sense,True,jerryscript,31136457,103,4,39814,66
md5,adafruit-feather-nrf52840-sense,True,lua,4699055,3918,0,20690,66
md5,adafruit-feather-nrf52840-sense,True,lua,4697190,3936,1,20690,66
md5,adafruit-feather-nrf52840-sense,True,lua,4697206,3912,2,20701,66
md5,adafruit-feather-nrf52840-sense,True,lua,4697205,3925,3,20725,66
md5,adafruit-feather-nrf52840-sense,True,lua,4697190,3913,4,20713,66
md5,adafruit-feather-nrf52840-sense,True,micropython,17806226,21,0,102123,66
md5,adafruit-feather-nrf52840-sense,True,micropython,17804828,41,1,102086,66
md5,adafruit-feather-nrf52840-sense,True,micropython,17804696,20,2,102086,66
md5,adafruit-feather-nrf52840-sense,True,micropython,17804696,41,3,102087,66
md5,adafruit-feather-nrf52840-sense,True,micropython,17804696,20,4,102109,66
md5,adafruit-feather-nrf52840-sense,True,native,52024,0,0,0,66
md5,adafruit-feather-nrf52840-sense,True,native,51990,0,1,0,66
md5,adafruit-feather-nrf52840-sense,True,native,51989,0,2,0,66
md5,adafruit-feather-nrf52840-sense,True,native,51990,0,3,0,66
