benchmark,board,correct,environment,execution_time_us,init_runtime_us,iteration,load_program_us,scale_factor
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,710852,104,0,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,710908,103,1,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,711412,103,2,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,711003,104,3,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,710127,103,4,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-18,703760,104,0,11578,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-18,705252,104,1,11578,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-18,704814,104,2,11578,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-18,705226,103,3,11579,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-18,705565,103,4,11579,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-28,705238,104,0,11581,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-28,705755,103,1,11580,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-28,705658,103,2,11581,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-28,704007,104,3,11581,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-28,705845,104,4,11581,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-38,704054,104,0,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-38,702955,104,1,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-38,704304,104,2,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-38,704336,104,3,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-38,704754,103,4,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-48,699660,104,0,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-48,698718,104,1,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-48,699698,104,2,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-48,699590,104,3,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-48,700617,104,4,11562,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-58,706564,104,0,11536,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-58,706297,104,1,11536,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-58,705797,104,2,11536,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-58,704773,103,3,11536,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-58,706423,104,4,11536,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-68,696524,104,0,11489,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-68,696058,104,1,11489,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-68,696329,105,2,11490,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-68,696309,104,3,11490,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-68,697300,105,4,11490,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6065335,16573,0,22887,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6061724,16561,1,22916,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6061521,16587,2,22904,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6060939,16579,3,22905,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6066055,16587,4,22919,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6063934,16574,0,22892,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6061589,16583,1,22906,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6063492,16571,2,22916,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6065328,16594,3,22908,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6065773,16581,4,22901,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6063140,16591,0,22893,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6064068,16571,1,22923,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6063484,16590,2,22923,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6061069,16585,3,22918,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6067089,16589,4,22905,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-90,6064544,16595,0,22891,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-90,6063778,16573,1,22902,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-90,6062198,16600,2,22956,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-90,6060045,16565,3,22901,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-90,6064705,16595,4,22923,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-100,6063919,16568,0,22902,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-100,6063612,16586,1,22932,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-100,6065837,16585,2,22903,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-100,6061486,16574,3,22909,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-100,6065304,16583,4,22897,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-110,6061624,16597,0,22902,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-110,6063606,16570,1,22911,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-110,6062044,16585,2,22916,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-110,6063614,16588,3,22890,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-110,6064082,16576,4,22902,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-120,6060325,16568,0,22908,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-120,6060616,16589,1,22926,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-120,6061139,16597,2,22899,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-120,6063223,16569,3,22903,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-120,6066248,16582,4,22894,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-25,606597,22,0,38950,5
