benchmark,board,correct,environment,execution_time_us,init_runtime_us,iteration,load_program_us,scale_factor
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,710852,104,0,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,710908,103,1,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,711411,103,2,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,711003,104,3,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-8,710126,104,4,11571,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-10,711546,104,0,11589,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-10,709186,104,1,11589,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-10,709360,104,2,11589,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-10,710119,104,3,11589,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-10,710686,103,4,11589,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-15,707834,104,0,11576,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-15,707010,104,1,11576,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-15,707611,103,2,11577,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-15,707674,104,3,11576,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-15,708300,104,4,11576,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-20,706795,104,0,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-20,706336,103,1,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-20,706592,103,2,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-20,705840,104,3,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-20,707128,103,4,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-25,706795,104,0,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-25,706336,103,1,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-25,706591,103,2,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-25,705840,104,3,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,jerryscript-25,707128,103,4,11617,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6065335,16573,0,22887,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6061724,16561,1,22916,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6061521,16587,2,22904,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6060939,16579,3,22906,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-60,6066055,16587,4,22918,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-65,6063854,16584,0,22908,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-65,6062577,16588,1,22899,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-65,6061522,16595,2,22889,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-65,6061979,16574,3,22911,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-65,6067804,16572,4,22937,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6063934,16574,0,22892,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6061589,16583,1,22906,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6063492,16570,2,22915,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6065329,16594,3,22907,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-70,6065773,16581,4,22902,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-75,6061844,16592,0,22940,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-75,6063112,16569,1,22910,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-75,6061806,16600,2,22907,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-75,6064384,16586,3,22903,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-75,6065502,16568,4,22903,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6063140,16591,0,22893,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6064069,16571,1,22923,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6063485,16589,2,22922,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6061070,16585,3,22919,5
tarfind,adafruit-feather-nrf52840-sense,true,lua-80,6067089,16589,4,22905,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-25,606597,22,0,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-25,606596,43,1,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-25,606597,43,2,38949,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-25,606597,43,3,38949,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-25,606596,43,4,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-30,601957,23,0,38949,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-30,601957,23,1,38972,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-30,601957,23,2,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-30,601956,45,3,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-30,601957,44,4,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-35,598710,24,0,38949,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-35,598708,45,1,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-35,598708,46,2,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-35,598708,45,3,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-35,598708,45,4,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-40,595403,25,0,38949,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-40,595405,46,1,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-40,595404,46,2,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-40,595405,46,3,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-40,595404,46,4,38950,5
tarfind,adafruit-feather-nrf52840-sense,true,micropython-45,594712,26,0,38950,5
