benchmark,board,correct,environment,execution_time_us,init_runtime_us,iteration,load_program_us,scale_factor
tarfind,native,True,jerryscript,29820,11,0,93,46
tarfind,native,True,jerryscript,29169,1,1,84,46
tarfind,native,True,jerryscript,29918,1,2,80,46
tarfind,native,True,jerryscript,29540,1,3,77,46
tarfind,native,True,jerryscript,32017,1,4,80,46
tarfind,native,True,lua,225616,118,0,146,46
tarfind,native,True,lua,228044,101,1,140,46
tarfind,native,True,lua,225468,102,2,140,46
tarfind,native,True,lua,226999,102,3,143,46
tarfind,native,True,lua,232027,103,4,142,46
tarfind,native,True,micropython,18176,4,0,227,46
tarfind,native,True,micropython,18172,0,1,219,46
tarfind,native,True,micropython,18167,1,2,218,46
tarfind,native,True,micropython,18067,0,3,219,46
tarfind,native,True,micropython,17723,0,4,213,46
tarfind,native,True,native,537,0,0,0,46
tarfind,native,True,native,449,0,1,0,46
tarfind,native,True,native,541,0,2,0,46
tarfind,native,True,native,652,0,3,0,46
tarfind,native,True,native,683,0,4,0,46
tarfind,native,True,wamr,3978,6,0,18,46
tarfind,native,True,wamr,3959,3,1,12,46
tarfind,native,True,wamr,3642,2,2,11,46
tarfind,native,True,wamr,3638,1,3,10,46
tarfind,native,True,wamr,3646,1,4,9,46
crc_32,native,True,jerryscript,10203669,12,0,2026,170
crc_32,native,True,jerryscript,10161986,3,1,1911,170
crc_32,native,True,jerryscript,10214500,3,2,1965,170
crc_32,native,True,jerryscript,10218560,3,3,2016,170
crc_32,native,True,jerryscript,10334573,2,4,1965,170
crc_32,native,True,lua,21294,56,0,171,170
crc_32,native,True,lua,21217,40,1,144,170
crc_32,native,True,lua,20739,41,2,145,170
crc_32,native,True,lua,20700,41,3,140,170
crc_32,native,True,lua,20754,39,4,139,170
crc_32,native,True,micropython,66635,3,0,458,170
crc_32,native,True,micropython,66420,0,1,437,170
crc_32,native,True,micropython,64669,1,2,436,170
crc_32,native,True,micropython,64244,0,3,422,170
crc_32,native,True,micropython,64330,0,4,414,170
crc_32,native,True,native,421,0,0,0,170
crc_32,native,True,native,353,0,1,0,170
crc_32,native,True,native,346,0,2,0,170
crc_32,native,True,native,510,0,3,0,170
crc_32,native,True,native,440,0,4,0,170
crc_32,native,True,wamr,11223,7,0,12,170
crc_32,native,True,wamr,11216,5,1,6,170
crc_32,native,True,wamr,11246,4,2,5,170
crc_32,native,True,wamr,11232,6,3,12,170
crc_32,native,True,wamr,11235,4,4,5,170
md5,native,True,jerryscript,148596,12,0,245,66
md5,native,True,jerryscript,147483,3,1,237,66
md5,native,True,jerryscript,145502,3,2,228,66
md5,native,True,jerryscript,143360,3,3,234,66
md5,native,True,jerryscript,145996,2,4,227,66
md5,native,True,lua,21948,55,0,169,66
md5,native,True,lua,21910,40,1,150,66
md5,native,True,lua,21949,38,2,148,66
md5,native,True,lua,21960,39,3,149,66
md5,native,True,lua,21431,38,4,145,66
md5,native,True,micropython,44714,4,0,543,66
md5,native,True,micropython,44699,1,1,535,66
md5,native,True,micropython,44613,1,2,531,66
md5,native,True,micropython,46994,1,3,541,66
md5,native,True,micropython,44785,1,4,537,66
md5,native,True,native,215,0,0,0,66
md5,native,True,native,244,0,1,0,66
md5,native,True,native,199,0,2,0,66
md5,native,True,native,187,0,3,0,66
md5,native,True,native,186,0,4,0,66
md5,native,True,wamr,12735,7,0,24,66
md5,native,True,wamr,12706,3,1,19,66
md5,native,True,wamr,12698,3,2,17,66
md5,native,True,wamr,12401,2,3,16,66
md5,native,True,wamr,12392,2,4,16,66
xgboost,native,True,jerryscript,114029,13,0,7689,1
xgboost,native,True,jerryscript,106417,3,1,7209,1
xgboost,native,True,jerryscript,103851,4,2,6880,1
xgboost,native,True,jerryscript,104403,3,3,6904,1
xgboost,native,True,jerryscript,105220,3,4,6692,1
xgboost,native,True,lua,16245,58,0,5458,1
xgboost,native,True,lua,15687,40,1,5102,1
xgboost,native,True,lua,15703,39,2,5101,1
xgboost,native,True,lua,15662,39,3,5094,1
xgboost,native,True,lua,15302,38,4,4965,1
xgboost,native,True,micropython,42376,4,0,35760,1
xgboost,native,True,micropython,41602,2,1,35602,1
xgboost,native,True,micropython,42569,0,2,34745,1
xgboost,native,True,micropython,41960,0,3,35384,1
xgboost,native,True,micropython,42227,0,4,34745,1
