benchmark,board,correct,environment,execution_time_us,init_runtime_us,iteration,load_program_us,scale_factor
sum,adafruit-feather-nrf52840-sense,true,jerryscript,541715,104,0,1515,10000
sum,adafruit-feather-nrf52840-sense,true,jerryscript,541716,103,1,1516,10000
sum,adafruit-feather-nrf52840-sense,true,jerryscript,541716,103,2,1516,10000
sum,adafruit-feather-nrf52840-sense,true,jerryscript,541716,103,3,1516,10000
sum,adafruit-feather-nrf52840-sense,true,jerryscript,541716,103,4,1516,10000
sum,adafruit-feather-nrf52840-sense,true,lua,17839,3966,0,1651,10000
sum,adafruit-feather-nrf52840-sense,true,lua,17839,3966,1,1650,10000
sum,adafruit-feather-nrf52840-sense,true,lua,17839,3966,2,1650,10000
sum,adafruit-feather-nrf52840-sense,true,lua,17838,3966,3,1651,10000
sum,adafruit-feather-nrf52840-sense,true,lua,17839,3965,4,1651,10000
sum,adafruit-feather-nrf52840-sense,true,micropython,91210,22,0,6602,10000
sum,adafruit-feather-nrf52840-sense,true,micropython,91211,43,1,6601,10000
sum,adafruit-feather-nrf52840-sense,true,micropython,91210,23,2,6602,10000
sum,adafruit-feather-nrf52840-sense,true,micropython,91211,43,3,6601,10000
sum,adafruit-feather-nrf52840-sense,true,micropython,91210,43,4,6602,10000
sum,adafruit-feather-nrf52840-sense,true,native,1252,0,0,0,10000
sum,adafruit-feather-nrf52840-sense,true,native,1272,0,1,0,10000
sum,adafruit-feather-nrf52840-sense,true,native,1272,0,2,0,10000
sum,adafruit-feather-nrf52840-sense,true,native,1272,0,3,0,10000
sum,adafruit-feather-nrf52840-sense,true,native,1272,0,4,0,10000
sum,adafruit-feather-nrf52840-sense,true,wamr,229882,424,0,1224,10000
sum,adafruit-feather-nrf52840-sense,true,wamr,229881,234,1,1195,10000
sum,adafruit-feather-nrf52840-sense,true,wamr,229882,213,2,1195,10000
sum,adafruit-feather-nrf52840-sense,true,wamr,229882,240,3,1195,10000
sum,adafruit-feather-nrf52840-sense,true,wamr,229882,213,4,1195,10000
sum,adafruit-feather-nrf52840-sense,true,femto-container,25640,5,0,15,10000
sum,adafruit-feather-nrf52840-sense,true,femto-container,25640,5,1,14,10000
sum,adafruit-feather-nrf52840-sense,true,femto-container,25640,5,2,37,10000
sum,adafruit-feather-nrf52840-sense,true,femto-container,25640,5,3,15,10000
sum,adafruit-feather-nrf52840-sense,true,femto-container,25640,5,4,15,10000
sum,adafruit-feather-nrf52840-sense,true,micro-bpf,122124,0,0,39,10000
sum,adafruit-feather-nrf52840-sense,true,micro-bpf,122138,0,1,56,10000
sum,adafruit-feather-nrf52840-sense,true,micro-bpf,122119,0,2,58,10000
sum,adafruit-feather-nrf52840-sense,true,micro-bpf,122139,0,3,37,10000
sum,adafruit-feather-nrf52840-sense,true,micro-bpf,122119,0,4,57,10000
